ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
1121091,1178,144531,30-34,M,10,1194718,141,254.049996,28,14
1121092,1178,144531,30-34,M,10,637648,67,122.4,13,5
1121094,1178,144531,30-34,M,10,24362,0,0,1,1
1121095,1178,144531,30-34,M,10,459690,50,86.33000112,5,2
1121096,1178,144531,30-34,M,10,750060,86,161.9099991,11,2
1121097,1178,144532,30-34,M,15,30068,1,1.820000052,1,0
1121098,1178,144532,30-34,M,15,1267550,123,236.7699986,24,10
1121100,1178,144532,30-34,M,15,3052003,340,639.9499981,60,17
1121101,1178,144532,30-34,M,15,29945,1,1.590000033,2,1
1121102,1178,144532,30-34,M,15,357856,30,52.97000015,7,3
1121104,1178,144533,30-34,M,16,2080666,202,360.1500015,40,21
1121105,1178,144533,30-34,M,16,145999,9,16.5200001,5,2
1121107,1178,144533,30-34,M,16,32616,1,1.539999962,2,0
1121108,1178,144533,30-34,M,16,984521,95,163.8999972,26,14
1121110,1178,144534,30-34,M,18,880814,123,210.3600006,6,2
1121111,1178,144534,30-34,M,18,182452,20,35.73000026,4,1
1121113,1178,144534,30-34,M,18,894911,120,215.8399994,7,4
1121114,1178,144534,30-34,M,18,31349,2,3.800000072,1,0
1121115,1178,144535,30-34,M,19,410310,55,96.80000055,3,0
1121116,1178,144535,30-34,M,19,572450,89,157.329998,7,4
1121117,1178,144535,30-34,M,19,98759,15,26.56999946,1,1
1121119,1178,144535,30-34,M,19,345371,54,93.08999991,7,3
1121121,1178,144536,30-34,M,20,323899,46,78.9200002,5,1
1121122,1178,144536,30-34,M,20,399199,58,103.1500002,3,0
1121123,1178,144536,30-34,M,20,171202,22,36.53000021,3,1
1121124,1178,144536,30-34,M,20,128386,15,28.85000002,2,1
1121125,1178,144536,30-34,M,20,1034284,152,257.7099986,20,9
1121126,1178,144536,30-34,M,20,45923,5,7.220000148,2,0
1121127,1178,144537,30-34,M,21,40873,4,7.899999976,2,1
1121128,1178,144537,30-34,M,21,286553,34,62.06000042,2,1
1121129,1178,144537,30-34,M,21,20618,1,2.099999905,2,1
1121131,1178,144537,30-34,M,21,83591,7,14.14000046,2,2
1121132,1178,144537,30-34,M,21,114923,12,23.73000026,4,2
1121133,1178,144538,30-34,M,22,25002,1,1.710000038,1,0
1121134,1178,144538,30-34,M,22,68905,5,9.440000057,1,0
1121136,1178,144538,30-34,M,22,169588,16,27.79999924,1,0
1121138,1178,144538,30-34,M,22,328991,35,67.65000057,5,2
1121141,1178,144539,30-34,M,23,23198,2,2.980000019,1,0
1121142,1178,144539,30-34,M,23,26890,2,3.24000001,1,0
1121143,1178,144539,30-34,M,23,221695,31,52.26000011,5,2
1121152,1178,144541,30-34,M,24,88443,7,13.0400002,1,1
1121153,1178,144541,30-34,M,24,187856,23,38.38999975,5,1
1121164,1178,144545,30-34,M,25,570699,80,138.7699997,9,2
1121167,1178,144545,30-34,M,25,1063508,145,260.3800013,23,7
1121168,1178,144545,30-34,M,25,50523,6,8.549999952,1,0
1121172,1178,144547,30-34,M,26,87935,9,15.63000023,1,0
1121173,1178,144547,30-34,M,26,278225,33,60.19999957,3,0
1121175,1178,144547,30-34,M,26,209461,20,34.19000006,1,0
1121177,1178,144547,30-34,M,26,26316,2,3.24000001,3,0
1121181,1178,144549,30-34,M,27,41030,3,5.140000105,2,1
1121182,1178,144549,30-34,M,27,876671,120,216.5599982,22,4
1121183,1178,144549,30-34,M,27,399392,53,93.07000041,5,0
1121184,1178,144549,30-34,M,27,283858,30,56.05999923,1,0
1121185,1178,144549,30-34,M,27,260699,31,54.09999871,5,2
1121193,1178,144552,30-34,M,28,57781,5,7.800000072,2,1
1121195,1178,144552,30-34,M,28,38757,3,5.220000029,1,0
1121196,1178,144552,30-34,M,28,1392288,206,358.5500029,31,7
1121197,1178,144552,30-34,M,28,1109387,159,280.9899995,13,2
1121202,1178,144554,30-34,M,29,581281,65,115.1200008,10,5
1121203,1178,144554,30-34,M,29,1048861,128,219.770002,22,8
1121205,1178,144554,30-34,M,29,297452,30,52.01999986,4,1
1121206,1178,144554,30-34,M,29,227925,22,35.30999994,22,12
1121207,1178,144554,30-34,M,29,374175,38,63.32000101,8,3
1121211,1178,144556,30-34,M,30,223586,32,54.24000037,1,0
1121213,1178,144556,30-34,M,30,283170,39,65.22999996,2,1
1121215,1178,144556,30-34,M,30,41636,3,4.210000038,1,0
1121216,1178,144556,30-34,M,30,198658,30,48.60999978,8,1
1121220,1178,144558,30-34,M,31,100596,10,13.91999972,4,2
1121223,1178,144558,30-34,M,31,64020,5,11.0599997,1,0
1121224,1178,144558,30-34,M,31,14289,0,0,1,0
1121229,1178,144561,30-34,M,32,404866,43,87.42000079,4,0
1121231,1178,144561,30-34,M,32,22256,1,1.659999967,1,1
1121233,1178,144561,30-34,M,32,57690,4,6.74000001,1,0
1121241,1178,144562,30-34,M,36,24952,5,8.220000267,3,2
1121242,1178,144562,30-34,M,36,38900,3,5.580000043,1,0
1121243,1178,144562,30-34,M,36,53520,6,9.2299999,1,1
1121244,1178,144562,30-34,M,36,181683,20,34.22999972,2,1
1121245,1178,144562,30-34,M,36,29185,2,3.149999976,1,0
1121246,1178,144562,30-34,M,36,105047,13,20.2099994,3,1
1121250,1178,144565,30-34,M,63,287976,31,59.43999982,3,2
1121251,1178,144565,30-34,M,63,212175,22,38.58999968,2,1
1121252,1178,144565,30-34,M,63,11139,0,0,1,1
1121254,1178,144565,30-34,M,63,124005,11,21.84999979,4,1
1121255,1178,144565,30-34,M,63,20423,1,1.960000038,1,0
1121261,1178,144567,30-34,M,64,103001,14,22.32000005,1,0
1121262,1178,144567,30-34,M,64,447420,66,110.2399991,7,2
1121263,1178,144567,30-34,M,64,156101,19,29.75000048,2,2
1121264,1178,144567,30-34,M,64,93015,12,18.47000015,1,0
1121265,1178,144568,30-34,M,65,145398,23,36.24000025,1,0
1121269,1178,144568,30-34,M,65,296413,50,76.43999958,3,1
1121273,1178,144569,30-34,M,2,9370,0,0,1,1
1121274,1178,144569,30-34,M,2,63785,7,11.80000019,6,2
1121275,1178,144569,30-34,M,2,118522,14,26.81999981,2,1
1121276,1178,144569,30-34,M,2,240123,38,65.67000115,5,4
1121277,1178,144570,30-34,M,7,169108,20,32.24000025,2,1
1121278,1178,144570,30-34,M,7,1044442,142,245.5999999,22,8
1121279,1178,144570,30-34,M,7,93891,11,17.6400001,5,3
1121282,1178,144570,30-34,M,7,185823,25,38.54999936,4,1
1121284,1178,144571,30-34,M,66,175631,23,40.75999951,1,0
1121285,1178,144571,30-34,M,66,37187,4,6.370000005,1,0
1121286,1178,144571,30-34,M,66,10991,0,0,1,0
1121287,1178,144571,30-34,M,66,344618,51,89.76000047,3,1
1121289,1178,144572,35-39,M,10,98066,9,16.1500001,1,0
1121290,1178,144572,35-39,M,10,770749,100,189.1299984,13,3
1121291,1178,144572,35-39,M,10,52553,5,8.529999852,1,0
1121292,1178,144572,35-39,M,10,362296,39,67.77000129,7,3
1121293,1178,144572,35-39,M,10,427729,50,96.8999989,4,1
1121296,1178,144573,35-39,M,15,180351,21,37.13000011,1,1
1121297,1178,144573,35-39,M,15,187329,29,53.15999961,2,1
1121300,1178,144573,35-39,M,15,782894,118,192.9299995,5,2
1121302,1178,144574,35-39,M,16,1206533,128,236.1199988,17,6
1121303,1178,144574,35-39,M,16,84494,7,12.57000017,2,0
1121304,1178,144574,35-39,M,16,94257,7,12.5800004,1,1
1121309,1178,144575,35-39,M,18,131060,16,28.04999959,2,1
1121310,1178,144575,35-39,M,18,341603,50,83.48000121,4,2
1121311,1178,144575,35-39,M,18,140749,19,30.4799999,1,1
1121312,1178,144575,35-39,M,18,102525,13,20.29999983,2,1
1121316,1178,144576,35-39,M,19,447952,68,131.5799983,8,1
1121317,1178,144576,35-39,M,19,76355,9,14.62999988,2,0
1121319,1178,144577,35-39,M,20,256598,38,64.46999931,6,1
1121321,1178,144577,35-39,M,20,127476,21,30.15000057,3,2
1121322,1178,144577,35-39,M,20,237603,37,62.25000024,5,2
1121327,1178,144578,35-39,M,21,271091,42,78.03999984,3,1
1121330,1178,144578,35-39,M,21,21743,2,3.400000095,1,0
1121333,1178,144579,35-39,M,22,88970,10,14.8300004,2,0
1121334,1178,144579,35-39,M,22,108362,13,22.42999983,1,1
1121335,1178,144579,35-39,M,22,188596,27,44.14000034,3,0
1121336,1178,144579,35-39,M,22,275080,43,69.65999997,4,3
1121337,1178,144580,35-39,M,23,64647,10,16.26999998,1,0
1121338,1178,144580,35-39,M,23,31265,4,5.789999902,1,0
1121340,1178,144580,35-39,M,23,140147,24,42.08000016,2,0
1121341,1178,144580,35-39,M,23,223120,40,67.66999984,1,0
1121342,1178,144580,35-39,M,23,104869,18,34.07000089,1,0
1121344,1178,144581,35-39,M,24,165177,23,41.71999967,4,1
1121345,1178,144581,35-39,M,24,84194,11,19.56999981,1,0
1121347,1178,144581,35-39,M,24,220581,31,57.37,1,1
1121350,1178,144582,35-39,M,25,75804,10,17.36999965,2,1
1121352,1178,144582,35-39,M,25,368986,59,100.289999,0,0
1121353,1178,144582,35-39,M,25,28194,3,3.709999919,2,0
1121355,1178,144583,35-39,M,26,99961,14,23.2099998,1,0
1121359,1178,144583,35-39,M,26,7573,0,0,1,0
1121361,1178,144584,35-39,M,27,685781,103,177.8899992,10,1
1121364,1178,144584,35-39,M,27,274222,43,66.7700001,2,1
1121365,1178,144584,35-39,M,27,110503,25,32.67999995,4,0
1121367,1178,144585,35-39,M,28,1447755,233,420.5799983,11,8
1121368,1178,144585,35-39,M,28,358987,52,87.55000067,1,0
1121369,1178,144585,35-39,M,28,826205,125,232.3700008,5,1
1121370,1178,144585,35-39,M,28,550954,84,150.1400012,3,0
1121372,1178,144585,35-39,M,28,378350,55,96.48000073,4,0
1121373,1178,144586,35-39,M,29,492784,56,95.5100013,7,4
